pha,H,G,diameter,albedo,rot_per,BV,UB,spec_B,spec_T,e,a,q,i,om,w,ma,ad,n,per,per.y,moid,class,data_arc,condition_code
0,14.9,,,,280.0,,,4,153,0.0843,1.795,1.643,19.22,235.33,249.16,209.25,1.95,0.4099,878.0,2.4,0.719,9,14557.0,0
0,13.94,,,,,,,7,153,0.1166,2.53,2.235,3.45,189.35,260.57,303.74,2.83,0.2449,1470.0,4.02,1.25,8,26274.0,0
0,12.26,,,,9.901,,,7,153,0.0573,2.93,2.762,1.94,17.6,142.73,20.17,3.1,0.1965,1830.0,5.02,1.77,8,20220.0,0
0,13.0,,,,5.8146,,,7,153,0.0633,2.225,2.084,5.5,26.0,96.6,317.7,2.37,0.2969,1210.0,3.32,1.11,8,32882.0,0
0,13.84,,,,,,,7,153,0.2058,2.406,1.911,2.77,292.43,112.08,57.47,2.9,0.2641,1360.0,3.73,0.922,8,25883.0,0
0,12.69,,,,58.21,,,7,153,0.1513,2.534,2.15,5.98,33.76,110.44,101.31,2.92,0.2444,1470.0,4.03,1.17,8,24476.0,0
0,13.51,,,,,,,7,153,0.0596,2.418,2.274,3.55,225.75,98.28,86.59,2.56,0.2621,1370.0,3.76,1.27,8,24862.0,0
0,12.59,,,,2.956,,,7,153,0.1831,2.533,2.069,10.5,113.56,87.16,80.78,3.0,0.2445,1470.0,4.03,1.1,8,29765.0,0
0,14.05,,,,11.094,,,7,153,0.168,2.226,1.852,4.55,249.31,137.29,78.97,2.6,0.2969,1210.0,3.32,0.86,8,24528.0,0
0,13.35,,,,6.9804,,,7,153,0.1839,2.165,1.767,1.33,63.45,286.89,299.37,2.56,0.3093,1160.0,3.19,0.762,8,26181.0,0
0,13.3,,,,,,,7,153,0.1618,2.277,1.909,4.19,46.47,300.48,198.54,2.65,0.2869,1250.0,3.44,0.907,8,14663.0,0
0,12.87,,,,6.83,,,7,153,0.1807,2.39,1.958,9.81,65.99,197.36,198.79,2.82,0.2667,1350.0,3.7,0.946,8,23426.0,0
0,13.84,,,,11.03204,,,7,153,0.1172,2.27,2.004,2.56,335.86,280.21,260.93,2.54,0.2882,1250.0,3.42,0.992,8,21579.0,0
0,15.47,,,,199.0,,,30,153,0.3893,2.196,1.341,12.02,170.13,174.19,174.63,3.05,0.3029,1190.0,3.25,0.335,9,18093.0,0
